tweet_id,expanded_urls,source,jpg_url
884876753390489601,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg
884562892145688576,https://twitter.com/dog_rates/status/884562892145688576/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg
884441805382717440,https://twitter.com/dog_rates/status/884441805382717440/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg
884247878851493888,https://twitter.com/kaijohnson_19/status/883965650754039809,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
884162670584377345,https://twitter.com/dog_rates/status/884162670584377345/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg
883838122936631299,https://twitter.com/dog_rates/status/883838122936631299/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg
883482846933004288,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg
883360690899218434,https://twitter.com/dog_rates/status/883360690899218434/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg
883117836046086144,"https://twitter.com/dog_rates/status/883117836046086144/photo/1,https://twitter.com/dog_rates/status/883117836046086144/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg
882992080364220416,"https://twitter.com/dog_rates/status/882992080364220416/photo/1,https://twitter.com/dog_rates/status/882992080364220416/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg
882762694511734784,https://twitter.com/dog_rates/status/882762694511734784/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg
882627270321602560,https://twitter.com/dog_rates/status/882627270321602560/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg
882268110199369728,"https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg
882045870035918850,"https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg
881906580714921986,https://twitter.com/dog_rates/status/881906580714921986/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg
881666595344535552,https://twitter.com/dog_rates/status/881666595344535552/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg
881633300179243008,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",
881536004380872706,https://twitter.com/dog_rates/status/881536004380872706/video/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/ext_tw_video_thumb/881535971568889856/pu/img/9bawiZ--8FKywTkz.jpg
881268444196462592,https://twitter.com/dog_rates/status/881268444196462592/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDrk-f9WAAI-WQv.jpg
880935762899988482,https://twitter.com/dog_rates/status/880935762899988482/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg
880872448815771648,https://twitter.com/dog_rates/status/880872448815771648/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDl8zzJW0AAisCJ.jpg
880465832366813184,"https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg
880221127280381952,"https://twitter.com/dog_rates/status/880221127280381952/photo/1,https://twitter.com/dog_rates/status/880221127280381952/photo/1","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDcscbXU0AIfDzs.jpg
880095782870896641,https://twitter.com/dog_rates/status/880095782870896641/photo/1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://pbs.twimg.com/media/DDa6ckbXgAAM1vV.jpg
